software,codevolume,pull_closed_NUMS,pull_merged_NUMS,pull_open_NUMS,pull_closed_duration_MEAN,pull_merged_duration_MEAN,pull_open_duration_MEAN,pull_openratio,pull_mergedratio,pulls_FACTOR,issues_closed_NUMS,issues_open_NUMS,issues_closed_duration_MEAN,issues_open_duration_MEAN,issues_openratio,tags_NUMS,tags_FACTOR,comments_NUMS,comments_FACTOR,branches_NUMS,branches_FACTOR,communityhealth,commits_NUMS,commits_FACTOR,contributors_NUMS,contributors_FACTOR,commits_person_avg,active_contributors_NUMS,active_ratio
openstack_openstack,7.0437124415,15,0,0,0.0,None,None,0.0,0.0,2.12955882634,15,0,0.0,None,0.0,2,0.283941176845,7,0.993794118959,2,0.283941176845,33,137915,19579.8737023,1662,235.955117959,82.9813477738,177,0.106498194946
jquery_jquery,4.65661559573,2063,306,20,16.4789142026,13.5947712418,234.25,0.00837170364169,0.128087065718,513.033543545,3922,101,23.9487506374,510.95049505,0.0251056425553,148,31.7827394075,2983,640.593997653,3,0.64424471772,100,6322,1357.63836848,263,56.4787869201,24.0380228137,9,0.0342205323194
apache_maven,6.02000474965,109,9,42,62.8440366972,2.11111111111,391.261904762,0.2625,0.05625,26.5780521202,118,42,58.2203389831,391.261904762,0.2625,53,8.80397976482,54,8.97009259057,36,5.98006172705,83,10371,1722.75611587,67,11.1295593253,154.791044776,7,0.10447761194
junit-team_junit4,4.49826919044,372,411,15,103.069892473,28.9635036496,514.0,0.0187969924812,0.515037593985,177.401566295,1396,115,187.614613181,1512.46086957,0.0761085373925,20,4.44615454373,41,9.11461681465,5,1.11153863593,66,2217,492.856231173,140,31.1230818061,15.8357142857,3,0.0214285714286
ansible_ansible,5.75471137034,5287,15243,1481,76.6415736713,14.0421832973,214.544226874,0.0672845395484,0.692517377675,3824.86602429,34535,5037,45.9453887361,274.198530872,0.127286970585,206,35.7967562129,626,108.780433929,37,6.42951446543,100,37290,6479.90795719,3457,600.725175865,10.7868093723,495,0.14318773503
nginx_nginx,5.27162789036,31,0,0,4.38709677419,None,None,0.0,0.0,5.88053645756,31,0,4.38709677419,None,0.0,497,94.2782780455,12,2.27633669325,15,2.84542086656,16,6355,1205.5099738,48,9.105346773,132.395833333,5,0.104166666667
apache_cordova-ios,4.88204615221,292,66,6,31.6746575342,10.8636363636,234.833333333,0.0164835164835,0.181318681319,74.5589018726,358,6,27.8379888268,234.833333333,0.0164835164835,102,20.8928790962,90,18.4348933201,26,5.32563584804,83,3620,741.492375766,158,32.3634793843,22.9113924051,9,0.0569620253165
apache_cordova-android,4.7839535774,338,100,1,55.6804733728,24.11,18.0,0.00227790432802,0.227790432802,91.7651045097,438,1,48.4748858447,18.0,0.00227790432802,125,26.1290160905,64,13.3780562383,41,8.57031727767,83,3630,758.786627267,153,31.9819156947,23.7254901961,10,0.0653594771242
twbs_bootstrap,4.73528743722,4538,4173,102,23.1403702071,9.20249221184,172.68627451,0.011573811415,0.473505049359,1861.13306042,25538,434,19.6663403555,247.239631336,0.0167103034037,47,9.92547984112,1571,331.7644432,44,9.29193857467,83,17690,3735.78166786,1006,212.447504684,17.5844930417,67,0.0666003976143
apache_cxf,5.96200261171,291,105,16,48.2096219931,5.30476190476,295.6875,0.0388349514563,0.254854368932,69.1042971351,396,16,36.8358585859,295.6875,0.0388349514563,136,22.8111272097,64,10.7346480987,14,2.34820427158,33,14034,2353.90705338,95,15.9342432714,147.726315789,30,0.315789473684
